[2026-04-22 13:44:19.014] ===== PROGRAM STARTED =====
[2026-04-22 13:44:19.015] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.036] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.057] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.078] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.100] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.121] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.143] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.164] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.186] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.207] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.227] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.248] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.269] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.291] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.312] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.333] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.354] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.375] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.396] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.417] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.439] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.460] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.481] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.502] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.523] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.544] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.565] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.586] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.608] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.629] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.649] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.670] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.691] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.712] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.734] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.755] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.776] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 13:44:19.797] PUBLISH -> linear.x=0.00, angular.z=-0.00
