[2026-04-24 10:57:27.383] ===== PROGRAM STARTED =====
[2026-04-24 10:57:27.384] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.405] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.426] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.447] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.468] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.489] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.510] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.531] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.552] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.573] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.594] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.616] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.637] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.657] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.678] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.699] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.720] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.741] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.762] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.783] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.803] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.825] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.845] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.866] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.887] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.908] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.929] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.950] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.970] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:27.992] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.013] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.034] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.055] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.076] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.097] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.118] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.138] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.159] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.180] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.201] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.222] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.243] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.263] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.284] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.305] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.326] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.346] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.367] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.388] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.409] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.430] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.452] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.473] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.494] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.515] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.536] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.557] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.577] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.598] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.619] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.640] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.661] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.682] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.703] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.723] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.744] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.765] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.786] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.807] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.828] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.849] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.870] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.891] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.911] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:57:28.932] PUBLISH -> linear.x=0.00, angular.z=-0.00
