[2026-04-24 10:53:51.638] ===== PROGRAM STARTED =====
[2026-04-24 10:53:51.639] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.660] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.681] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.702] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.723] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.743] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.764] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.785] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.806] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.826] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.848] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.869] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.890] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.911] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.932] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.953] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.974] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:51.995] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.016] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.037] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.058] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.079] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.100] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.121] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.141] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.162] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.183] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.204] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.225] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.246] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.266] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.287] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.308] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.330] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.351] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:53:52.372] PUBLISH -> linear.x=0.00, angular.z=-0.00
