[2026-04-24 10:58:37.309] ===== PROGRAM STARTED =====
[2026-04-24 10:58:37.310] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.331] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.352] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.373] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.394] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.414] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.435] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.456] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.477] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.498] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.519] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.540] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.561] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.582] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.603] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.624] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.645] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.666] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.687] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.708] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.729] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.750] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.771] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.792] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.813] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.833] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.854] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.875] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.896] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.917] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.938] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.959] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:37.980] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:38.000] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:38.021] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:58:38.042] PUBLISH -> linear.x=0.00, angular.z=-0.00
