[2026-04-22 14:46:25.964] ===== PROGRAM STARTED =====
[2026-04-22 14:46:25.969] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:25.990] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.011] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.033] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.055] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.076] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.097] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.118] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.139] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.160] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.181] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.203] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.224] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.245] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.266] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.287] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.309] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.330] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.351] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.373] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.395] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.417] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.439] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.461] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.483] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.504] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.525] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.546] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.568] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.589] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.610] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.632] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.653] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.675] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.696] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.717] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.738] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.759] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.780] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.802] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.823] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.844] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.866] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.887] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.908] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.929] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.950] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.971] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:26.992] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:27.013] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:27.034] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:27.055] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:27.077] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:27.099] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:27.120] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:27.141] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:27.162] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:46:27.184] PUBLISH -> linear.x=0.00, angular.z=-0.00
