[2026-04-22 14:54:25.527] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.548] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.570] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.591] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.612] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.633] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.655] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.676] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.697] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.718] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.739] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.760] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.781] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.802] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.823] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.844] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.866] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.887] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.908] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.929] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.952] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.974] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:25.996] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.017] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.039] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.060] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.081] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.102] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.123] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.143] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.164] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.185] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.206] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.227] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.248] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.269] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.290] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.315] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.336] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.357] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.378] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.399] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.419] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.440] KEY PRESS: UP (Forward)
[2026-04-22 14:54:26.441] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.462] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.483] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.504] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.525] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.547] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.568] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.589] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.610] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.631] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.652] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.673] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.694] PUBLISH -> linear.x=0.25, angular.z=-0.00
[2026-04-22 14:54:26.714] KEY PRESS: LEFT
[2026-04-22 14:54:26.715] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:26.736] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:26.757] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:26.778] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:26.799] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:26.820] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:26.841] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:26.863] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:26.883] PUBLISH -> linear.x=0.25, angular.z=0.50
