[2026-04-24 10:55:23.857] ===== PROGRAM STARTED =====
[2026-04-24 10:55:23.858] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:23.878] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:23.899] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:23.920] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:23.941] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:23.962] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:23.983] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.004] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.025] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.046] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.067] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.088] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.109] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.129] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.150] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.171] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.192] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.213] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.234] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.255] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.276] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.297] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.318] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.339] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.360] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.380] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.401] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.422] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.443] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:55:24.464] PUBLISH -> linear.x=0.00, angular.z=-0.00
