[2026-04-22 14:53:24.503] ===== PROGRAM STARTED =====
[2026-04-22 14:53:24.507] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.528] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.549] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.570] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.590] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.611] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.632] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.653] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.674] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.695] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.716] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.737] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.758] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.779] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.801] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.823] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.845] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:24.866] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.205] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.227] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.248] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.269] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.290] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.311] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.332] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.353] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.374] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.395] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.416] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.436] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.457] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.478] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.507] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.528] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.549] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.570] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.591] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.611] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.632] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.653] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.675] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.696] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.717] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.738] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.759] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.780] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.801] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.822] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.843] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.864] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.885] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.906] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.927] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.949] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.970] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:25.998] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:26.019] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:26.041] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:26.062] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:26.083] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:26.104] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:26.125] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:26.146] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-22 14:53:26.167] PUBLISH -> linear.x=0.00, angular.z=-0.00
