[2026-04-24 10:52:34.957] ===== PROGRAM STARTED =====
[2026-04-24 10:52:34.958] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:34.979] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.000] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.021] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.042] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.063] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.084] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.104] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.125] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.146] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.167] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.188] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.209] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.230] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.251] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.272] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.293] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.314] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.334] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.355] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.376] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.397] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.418] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.439] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.460] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.481] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.502] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.523] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.544] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.564] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.585] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.613] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.634] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.655] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.676] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.697] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.718] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.739] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.760] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.781] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.802] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.822] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.843] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.864] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.885] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.906] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.927] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.948] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 10:52:35.969] PUBLISH -> linear.x=0.00, angular.z=-0.00
