[2026-04-26 13:40:07.317] ===== PROGRAM STARTED =====
[2026-04-26 13:40:07.318] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.340] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.361] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.383] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.406] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.427] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.448] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.470] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.491] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.512] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.533] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.555] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.578] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.601] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.625] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.649] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.671] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.693] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.715] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.737] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.760] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.781] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.802] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.825] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.846] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.868] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.889] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.911] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.932] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.954] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.978] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:07.999] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.020] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.042] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.063] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.084] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.105] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.127] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.148] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.173] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.195] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.216] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.238] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.260] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.281] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.302] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.324] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.346] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.368] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.390] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.413] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.436] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.458] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.479] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.500] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.522] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.545] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.567] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.589] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.615] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.639] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.663] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.685] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.707] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.728] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.751] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.773] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.794] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.815] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.837] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.859] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.880] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.904] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.926] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.947] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.969] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:08.991] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:09.012] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:40:09.034] PUBLISH -> linear.x=0.00, angular.z=-0.00
