[2026-04-25 15:53:38.317] ===== PROGRAM STARTED =====
[2026-04-25 15:53:38.318] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.339] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.360] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.381] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.402] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.423] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.445] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.466] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.487] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.508] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.528] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.549] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.570] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.591] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.612] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.634] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.654] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.675] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.696] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.717] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.738] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.759] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.780] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.801] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.822] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.843] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.864] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.884] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.906] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.927] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.948] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.969] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:38.990] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.010] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.031] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.052] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.073] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.094] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.115] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.136] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.157] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.178] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.199] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.219] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.240] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.261] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.282] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.303] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.324] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.345] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.366] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.387] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.408] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.429] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.450] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.471] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.492] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:53:39.513] PUBLISH -> linear.x=0.00, angular.z=-0.00
