[2026-04-24 11:09:39.089] ===== PROGRAM STARTED =====
[2026-04-24 11:09:39.090] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.111] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.132] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.153] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.174] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.195] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.216] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.237] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.258] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.279] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.300] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.321] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.341] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.362] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.383] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.404] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.425] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.446] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.467] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.488] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.508] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.529] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.550] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.571] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.592] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.613] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.634] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.655] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.676] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.697] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.718] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.739] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.760] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.781] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.801] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.822] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.843] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.864] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.885] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:09:39.906] PUBLISH -> linear.x=0.00, angular.z=0.00
