[2026-04-26 13:51:55.392] ===== PROGRAM STARTED =====
[2026-04-26 13:51:55.408] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.429] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.453] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.475] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.496] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.518] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.539] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.561] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.588] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.609] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.631] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.657] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.679] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.701] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.722] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.744] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.766] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.787] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.808] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.830] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.852] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.873] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.897] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.919] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.942] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.966] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:55.989] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:56.011] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:56.034] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:56.056] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:56.079] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:56.100] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:51:56.121] KEY PRESS: UP (Forward)
[2026-04-26 13:51:56.123] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.144] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.165] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.186] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.207] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.229] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.251] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.272] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.293] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.315] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.336] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.361] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.393] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.415] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.437] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.458] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.479] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.503] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.524] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.546] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.568] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.590] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.611] KEY PRESS: UP (Forward)
[2026-04-26 13:51:56.612] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.633] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.655] KEY PRESS: UP (Forward)
[2026-04-26 13:51:56.657] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.679] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.700] KEY PRESS: UP (Forward)
[2026-04-26 13:51:56.701] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.723] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.743] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.764] KEY PRESS: UP (Forward)
[2026-04-26 13:51:56.765] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.786] KEY PRESS: UP (Forward)
[2026-04-26 13:51:56.787] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.807] KEY PRESS: UP (Forward)
[2026-04-26 13:51:56.808] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.829] KEY PRESS: UP (Forward)
[2026-04-26 13:51:56.830] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.851] KEY PRESS: UP (Forward)
[2026-04-26 13:51:56.853] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.874] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.895] KEY PRESS: UP (Forward)
[2026-04-26 13:51:56.897] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.918] KEY PRESS: UP (Forward)
[2026-04-26 13:51:56.920] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.940] KEY PRESS: UP (Forward)
[2026-04-26 13:51:56.942] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.963] KEY PRESS: UP (Forward)
[2026-04-26 13:51:56.964] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:56.986] KEY PRESS: UP (Forward)
[2026-04-26 13:51:56.987] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.009] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.030] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.031] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.052] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.052] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.073] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.074] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.095] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.096] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.119] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.140] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.141] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.163] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.164] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.185] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.206] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.207] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.228] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.229] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.250] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.252] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.274] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.275] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.296] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.297] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.318] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.320] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.341] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.362] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.363] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.384] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.386] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.407] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.409] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.429] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.431] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.453] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.474] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.495] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.496] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.518] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.539] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.541] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.563] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.584] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.605] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.607] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.628] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.630] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.651] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.654] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.675] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.678] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.699] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.701] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.722] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.724] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.746] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.747] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.769] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.791] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.812] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.814] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.836] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.837] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.860] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.881] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.883] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.904] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.906] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.927] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.928] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.949] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.951] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.972] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:57.993] KEY PRESS: UP (Forward)
[2026-04-26 13:51:57.995] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.016] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.018] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.039] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.041] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.062] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.064] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.085] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.088] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.110] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.131] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.133] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.154] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.157] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.177] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.178] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.199] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.200] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.220] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.221] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.242] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.263] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.264] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.285] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.289] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.310] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.311] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.331] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.332] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.353] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.354] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.376] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.398] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.420] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.441] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.442] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.462] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.463] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.489] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.491] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.511] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.512] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.534] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.555] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.556] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.576] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.577] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.598] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.600] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.620] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.622] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.643] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.645] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.666] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.667] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.688] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.690] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.712] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.734] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.755] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.756] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.777] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.778] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.799] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.800] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.821] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.823] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.845] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.866] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.868] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.889] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.891] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.912] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.913] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.934] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.935] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.956] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.977] KEY PRESS: UP (Forward)
[2026-04-26 13:51:58.978] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:58.999] KEY PRESS: UP (Forward)
[2026-04-26 13:51:59.000] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:59.021] KEY PRESS: UP (Forward)
[2026-04-26 13:51:59.023] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:59.044] KEY PRESS: UP (Forward)
[2026-04-26 13:51:59.045] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:59.067] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:59.087] KEY PRESS: UP (Forward)
[2026-04-26 13:51:59.088] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:59.109] KEY PRESS: UP (Forward)
[2026-04-26 13:51:59.112] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:59.135] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:59.156] KEY PRESS: UP (Forward)
[2026-04-26 13:51:59.157] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:59.179] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:59.200] KEY PRESS: UP (Forward)
[2026-04-26 13:51:59.202] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:59.224] KEY PRESS: UP (Forward)
[2026-04-26 13:51:59.228] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:59.249] KEY PRESS: UP (Forward)
[2026-04-26 13:51:59.253] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:59.275] KEY PRESS: UP (Forward)
[2026-04-26 13:51:59.277] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:59.299] KEY PRESS: UP (Forward)
[2026-04-26 13:51:59.300] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 13:51:59.321] KEY PRESS: UP (Forward)
