[2026-04-26 12:24:33.481] ===== PROGRAM STARTED =====
[2026-04-26 12:24:33.482] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.503] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.523] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.544] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.565] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.586] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.607] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.627] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.648] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.669] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.690] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.711] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.732] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.753] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.773] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.794] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.815] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.836] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.857] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.878] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.899] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.920] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.941] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.962] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:33.983] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:34.003] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:34.024] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:34.045] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:34.066] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:34.087] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:34.107] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:24:34.128] PUBLISH -> linear.x=0.00, angular.z=-0.00
