[2026-04-26 14:13:10.306] ===== PROGRAM STARTED =====
[2026-04-26 14:13:10.308] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.329] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.350] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.371] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.392] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.413] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.434] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.455] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.476] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.497] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.518] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.539] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.560] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.581] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.602] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.623] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.643] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.664] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.686] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.707] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.728] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.749] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.770] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.791] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.811] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.832] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.853] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.874] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.895] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.916] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.937] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.958] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:10.979] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:11.001] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:11.022] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:11.042] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:11.064] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:13:11.085] PUBLISH -> linear.x=0.00, angular.z=-0.00
