[2026-04-24 11:20:46.013] ===== PROGRAM STARTED =====
[2026-04-24 11:20:46.016] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.037] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.058] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.079] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.100] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.121] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.141] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.162] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.183] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.204] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.225] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.246] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.267] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.288] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.309] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.330] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.351] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.372] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.393] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.414] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.435] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.456] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.477] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.498] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.518] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.539] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.560] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.581] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.602] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.623] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.644] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.665] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.685] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.706] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.727] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.749] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.769] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.790] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.811] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.832] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.853] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.874] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.895] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.916] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.937] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.958] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.978] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:46.999] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.020] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.041] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.062] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.083] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.103] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.124] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.145] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.166] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.187] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.208] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.229] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.250] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.271] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.292] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.313] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.334] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.355] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.376] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.396] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.417] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.438] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.459] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.480] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:20:47.501] PUBLISH -> linear.x=0.06, angular.z=0.00
[2026-04-24 11:20:47.522] PUBLISH -> linear.x=0.12, angular.z=0.00
[2026-04-24 11:20:47.542] PUBLISH -> linear.x=0.18, angular.z=0.00
[2026-04-24 11:20:47.563] PUBLISH -> linear.x=0.24, angular.z=0.00
[2026-04-24 11:20:47.584] PUBLISH -> linear.x=0.30, angular.z=0.00
[2026-04-24 11:20:47.605] PUBLISH -> linear.x=0.36, angular.z=0.00
[2026-04-24 11:20:47.626] PUBLISH -> linear.x=0.42, angular.z=0.00
[2026-04-24 11:20:47.647] PUBLISH -> linear.x=0.48, angular.z=0.00
[2026-04-24 11:20:47.668] PUBLISH -> linear.x=0.54, angular.z=0.00
[2026-04-24 11:20:47.689] PUBLISH -> linear.x=0.51, angular.z=0.00
[2026-04-24 11:20:47.710] PUBLISH -> linear.x=0.48, angular.z=0.00
[2026-04-24 11:20:47.731] PUBLISH -> linear.x=0.45, angular.z=0.00
[2026-04-24 11:20:47.751] PUBLISH -> linear.x=0.42, angular.z=0.00
[2026-04-24 11:20:47.772] PUBLISH -> linear.x=0.39, angular.z=0.00
[2026-04-24 11:20:47.793] PUBLISH -> linear.x=0.36, angular.z=0.00
[2026-04-24 11:20:47.814] PUBLISH -> linear.x=0.33, angular.z=0.00
