[2026-04-24 11:13:00.658] ===== PROGRAM STARTED =====
[2026-04-24 11:13:00.659] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.680] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.701] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.722] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.743] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.764] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.785] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.805] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.826] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.848] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.869] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.890] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.910] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.931] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.952] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.973] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:00.994] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.015] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.036] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.057] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.078] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.099] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.119] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.140] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.161] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.182] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.203] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.224] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.245] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.265] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.286] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.307] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.328] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.349] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.370] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.391] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.412] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.433] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.454] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.475] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.495] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.516] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.537] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.558] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.579] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.600] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.621] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.641] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.662] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.683] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.704] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.725] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.746] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.767] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.787] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:01.808] PUBLISH -> linear.x=0.00, angular.z=0.00
