[2026-04-25 15:57:06.993] ===== PROGRAM STARTED =====
[2026-04-25 15:57:06.994] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.015] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.035] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.056] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.077] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.097] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.118] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.139] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.160] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.181] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.201] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.222] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.243] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.264] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.285] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.306] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.327] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.348] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.369] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.390] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.411] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.432] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.452] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.473] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.494] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.515] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.536] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.557] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.578] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:57:07.598] PUBLISH -> linear.x=0.00, angular.z=-0.00
