[2026-04-26 13:58:46.604] ===== PROGRAM STARTED =====
[2026-04-26 13:58:46.608] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.630] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.650] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.671] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.692] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.716] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.737] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.758] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.779] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.800] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.821] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.842] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.863] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.885] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.908] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.929] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.950] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.972] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:46.993] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:47.014] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:47.036] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:47.057] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:47.079] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:47.100] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:47.121] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:58:47.142] KEY PRESS: DOWN (Reverse)
[2026-04-26 13:58:47.142] PUBLISH -> linear.x=-0.20, angular.z=-0.00
[2026-04-26 13:58:47.164] PUBLISH -> linear.x=-0.20, angular.z=-0.00
[2026-04-26 13:58:47.185] PUBLISH -> linear.x=-0.20, angular.z=-0.00
[2026-04-26 13:58:47.209] PUBLISH -> linear.x=-0.20, angular.z=-0.00
[2026-04-26 13:58:47.230] PUBLISH -> linear.x=-0.20, angular.z=-0.00
