[2026-04-24 11:19:03.104] PUBLISH -> linear.x=-0.15, angular.z=0.00
[2026-04-24 11:19:03.125] PUBLISH -> linear.x=-0.12, angular.z=0.00
[2026-04-24 11:19:03.147] PUBLISH -> linear.x=-0.18, angular.z=0.00
[2026-04-24 11:19:03.168] PUBLISH -> linear.x=-0.24, angular.z=0.00
[2026-04-24 11:19:03.189] PUBLISH -> linear.x=-0.30, angular.z=0.00
[2026-04-24 11:19:03.210] PUBLISH -> linear.x=-0.36, angular.z=0.00
[2026-04-24 11:19:03.231] PUBLISH -> linear.x=-0.42, angular.z=0.00
[2026-04-24 11:19:03.251] PUBLISH -> linear.x=-0.48, angular.z=0.00
[2026-04-24 11:19:03.272] PUBLISH -> linear.x=-0.54, angular.z=0.00
[2026-04-24 11:19:03.293] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.314] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.335] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.356] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.377] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.398] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.419] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.440] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.461] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.482] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.503] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.524] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.545] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.565] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.586] PUBLISH -> linear.x=-0.60, angular.z=0.00
