[2026-04-26 13:45:58.850] ===== PROGRAM STARTED =====
[2026-04-26 13:45:58.852] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:58.875] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:58.896] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:58.917] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:58.938] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:58.959] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:58.980] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.002] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.023] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.044] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.065] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.087] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.108] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.129] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.150] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.171] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.192] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.214] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.235] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.256] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.278] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.299] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.336] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.358] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.381] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.402] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.424] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.445] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.466] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.488] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:45:59.509] PUBLISH -> linear.x=0.00, angular.z=-0.00
