[2026-04-24 14:55:10.369] ===== PROGRAM STARTED =====
[2026-04-24 14:55:10.374] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.405] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.428] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.449] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.469] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.491] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.514] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.539] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.560] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.581] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.602] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.623] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.644] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.665] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.686] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.707] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.728] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.749] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.770] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.791] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.812] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.833] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.854] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.875] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.896] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.917] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.938] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.959] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:10.980] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.001] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.022] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.043] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.064] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.086] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.107] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.128] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.149] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.170] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.190] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.211] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.232] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.253] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.274] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.296] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.317] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.338] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.359] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.380] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.401] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.421] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.443] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.464] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.484] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.505] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.526] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.547] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.568] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.589] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.610] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.631] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.652] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.673] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.694] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.715] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.736] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.757] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.778] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.799] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.820] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.841] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.862] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.883] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.904] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.925] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.946] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.967] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:11.988] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.009] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.030] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.051] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.072] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.093] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.114] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.146] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.168] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.189] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.210] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.231] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.252] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.273] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.294] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.315] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:55:12.336] PUBLISH -> linear.x=0.00, angular.z=-0.00
