[2026-04-25 15:54:33.721] ===== PROGRAM STARTED =====
[2026-04-25 15:54:33.722] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:33.742] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:33.763] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:33.784] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:33.805] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:33.826] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:33.847] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:33.868] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:33.889] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:33.909] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:33.930] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:33.951] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:33.972] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:33.993] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.014] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.035] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.056] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.077] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.097] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.118] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.139] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.160] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.181] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.202] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.223] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.243] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.264] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.285] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.306] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.327] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.348] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.369] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.390] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.411] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.431] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.452] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.473] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.494] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.515] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.536] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.556] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.577] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.598] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.619] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.640] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.661] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.681] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.702] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.723] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.744] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.765] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.786] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.807] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.828] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.849] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.870] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.891] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.912] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.932] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.953] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.974] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:34.995] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.016] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.037] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.057] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.078] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.099] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.120] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.141] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.162] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.183] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.205] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.226] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.246] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.267] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.288] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.310] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.330] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.351] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.372] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.393] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.415] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.436] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.457] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.477] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.498] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.519] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.540] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.561] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.582] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.603] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.623] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.644] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.665] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.686] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.708] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:54:35.729] PUBLISH -> linear.x=0.00, angular.z=-0.00
