[2026-04-25 14:16:31.942] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:31.964] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:31.987] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:32.008] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:32.033] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 14:16:32.054] KEY PRESS: DOWN (Reverse)
[2026-04-25 14:16:32.055] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.077] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.099] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.122] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.143] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.164] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.186] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.207] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.229] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.250] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.272] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.293] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.313] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.334] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.355] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.375] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.396] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.417] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.438] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.459] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.479] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.500] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.521] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.542] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.563] KEY PRESS: DOWN (Reverse)
[2026-04-25 14:16:32.564] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.585] KEY PRESS: DOWN (Reverse)
[2026-04-25 14:16:32.585] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.607] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.629] KEY PRESS: DOWN (Reverse)
[2026-04-25 14:16:32.631] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.651] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.672] KEY PRESS: DOWN (Reverse)
[2026-04-25 14:16:32.674] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.695] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.717] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.738] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.760] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.781] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.803] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.824] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.845] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.868] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.889] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.910] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.932] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.954] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.975] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:32.996] PUBLISH -> linear.x=-0.15, angular.z=-0.00
