[2026-04-26 14:10:27.972] ===== PROGRAM STARTED =====
[2026-04-26 14:10:27.973] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:27.994] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.015] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.035] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.056] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.077] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.098] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.119] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.140] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.161] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.182] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.203] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.224] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.245] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.266] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.287] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.308] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.329] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.350] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.371] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.391] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.412] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.433] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.454] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.475] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.496] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.517] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.538] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.559] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.580] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.601] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.622] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.642] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:10:28.663] KEY PRESS: RIGHT
[2026-04-26 14:10:28.664] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.684] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.706] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.727] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.747] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.768] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.789] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.810] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.831] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.852] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.873] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.894] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.915] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.936] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.957] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.978] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:28.999] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.020] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.041] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.062] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.083] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.105] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.125] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.146] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.167] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.188] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.209] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.230] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.251] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.272] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.293] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.313] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.334] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.355] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.376] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.397] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.418] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.439] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.460] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.480] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.502] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.523] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.544] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.565] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.586] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.607] PUBLISH -> linear.x=0.00, angular.z=-0.50
[2026-04-26 14:10:29.628] PUBLISH -> linear.x=0.00, angular.z=-0.50
