[2026-04-25 15:56:50.010] ===== PROGRAM STARTED =====
[2026-04-25 15:56:50.011] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.032] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.053] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.073] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.094] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.115] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.136] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.157] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.178] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.199] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.220] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.240] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.261] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.282] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.303] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.324] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.344] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.366] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.386] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.407] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.428] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.449] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.470] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.491] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.512] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.533] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.554] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.574] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.595] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.616] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.637] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.658] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.679] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.700] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.721] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.742] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.762] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.784] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.804] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.825] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.846] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.867] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.889] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.910] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.931] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.952] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.973] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:50.993] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.014] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.035] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.056] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.077] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.098] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.119] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.140] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.161] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.182] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.203] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.224] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.245] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.266] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.289] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.310] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.331] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.352] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.373] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.393] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.414] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 15:56:51.435] PUBLISH -> linear.x=0.00, angular.z=-0.00
