[2026-04-24 11:13:22.120] ===== PROGRAM STARTED =====
[2026-04-24 11:13:22.121] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.142] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.162] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.183] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.204] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.225] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.246] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.267] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.288] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.308] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.329] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.350] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.371] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.392] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.413] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.434] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.454] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.475] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.496] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.517] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.538] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.559] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.579] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.600] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.621] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.642] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.663] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.683] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.704] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.725] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.746] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.767] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.788] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.809] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.830] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.851] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.872] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.893] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.913] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:13:22.934] PUBLISH -> linear.x=0.00, angular.z=0.00
