[2026-04-26 12:25:47.077] ===== PROGRAM STARTED =====
[2026-04-26 12:25:47.078] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.099] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.119] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.140] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.161] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.182] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.203] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.223] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.244] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.265] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.286] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.307] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.327] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.348] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.369] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.390] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.410] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.431] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.452] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.472] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.493] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.514] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.535] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 12:25:47.556] PUBLISH -> linear.x=0.00, angular.z=-0.00
