[2026-04-25 16:47:25.762] ===== PROGRAM STARTED =====
[2026-04-25 16:47:25.763] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:25.784] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:25.805] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:25.826] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:25.847] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:25.868] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:25.889] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:25.910] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:25.931] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:25.951] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:25.972] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:25.993] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.014] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.035] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.056] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.077] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.097] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.118] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.139] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.160] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.181] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.201] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.222] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.243] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.264] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.285] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.306] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.327] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.347] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.368] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.389] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.410] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.431] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.452] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.472] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.493] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.514] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.535] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.556] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.577] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.597] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.618] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.639] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.660] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.681] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.701] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.722] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.743] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.764] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.785] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.806] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.827] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.848] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.869] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.890] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.911] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.931] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.952] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.973] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:26.994] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.015] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.035] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.056] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.077] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.098] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.118] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.139] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.160] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.181] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.201] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.223] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.243] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.264] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.285] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.306] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.327] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.348] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.369] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.390] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.411] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.431] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.452] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.473] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.494] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.515] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.536] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.556] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.577] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.598] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.619] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.640] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.661] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.681] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.702] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.723] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.744] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.765] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.786] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.807] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.828] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-25 16:47:27.848] PUBLISH -> linear.x=0.00, angular.z=-0.00
