[2026-04-26 14:07:18.646] ===== PROGRAM STARTED =====
[2026-04-26 14:07:18.647] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.668] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.689] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.710] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.731] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.752] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.772] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.793] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.814] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.835] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.856] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.877] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.898] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.918] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.939] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.960] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:18.981] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.002] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.023] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.044] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.065] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.086] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.107] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.128] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.149] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.170] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.190] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.211] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.232] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.253] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.274] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.295] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.316] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.337] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.358] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.379] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.400] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.420] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.441] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.462] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.483] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.504] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.525] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.546] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.567] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.588] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.609] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.630] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.651] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.672] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.693] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.714] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.735] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.756] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.776] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.797] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.818] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.839] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.860] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.881] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.902] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.923] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.944] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.965] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:19.986] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:20.007] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:20.028] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:20.049] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:20.070] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:20.091] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:20.112] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:07:20.132] PUBLISH -> linear.x=0.00, angular.z=-0.00
