[2026-04-26 14:05:04.523] ===== PROGRAM STARTED =====
[2026-04-26 14:05:04.533] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.560] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.581] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.606] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.627] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.649] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.671] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.692] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.713] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.734] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.756] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.777] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.798] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.819] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.840] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.861] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.882] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.903] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.925] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.946] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.967] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:04.990] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.011] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.034] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.055] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.077] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.099] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.120] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.141] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.164] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.185] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.207] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.228] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.250] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.275] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.296] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.318] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.340] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.361] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.384] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.407] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.429] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.451] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.472] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.495] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.517] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.539] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 14:05:05.562] PUBLISH -> linear.x=0.00, angular.z=-0.00
