[2026-04-26 13:50:03.359] ===== PROGRAM STARTED =====
[2026-04-26 13:50:03.361] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.382] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.403] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.424] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.446] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.468] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.489] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.510] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.534] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.555] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.577] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.598] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.620] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.642] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.664] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.686] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.708] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.729] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.750] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.772] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.794] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.816] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.837] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.859] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.881] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.903] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.925] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.948] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.974] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:03.996] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.018] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.040] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.063] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.084] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.105] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.126] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.148] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.169] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.191] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.212] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.235] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.257] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.278] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.300] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:50:04.321] PUBLISH -> linear.x=0.00, angular.z=-0.00
