[2026-04-26 12:26:54.886] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:54.907] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:54.927] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:54.948] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:54.969] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:54.990] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.011] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.032] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.053] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.073] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.094] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.115] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.136] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.157] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.178] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.199] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.220] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.240] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.261] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.282] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.303] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.324] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.345] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.365] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.386] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.407] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.428] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.449] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.470] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.491] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.511] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.532] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.553] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.574] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.595] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.616] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.637] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.658] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.679] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.700] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.720] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.741] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.762] PUBLISH -> linear.x=0.20, angular.z=-0.00
[2026-04-26 12:26:55.783] KEY PRESS: RIGHT
[2026-04-26 12:26:55.784] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:55.805] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:55.825] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:55.846] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:55.867] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:55.888] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:55.909] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:55.930] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:55.951] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:55.972] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:55.993] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.013] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.034] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.055] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.076] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.097] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.117] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.138] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.159] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.180] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.201] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.222] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.243] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.264] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.284] KEY PRESS: RIGHT
[2026-04-26 12:26:56.285] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.306] KEY PRESS: RIGHT
[2026-04-26 12:26:56.306] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.327] KEY PRESS: RIGHT
[2026-04-26 12:26:56.327] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.348] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.368] KEY PRESS: RIGHT
[2026-04-26 12:26:56.369] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.390] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.410] KEY PRESS: RIGHT
[2026-04-26 12:26:56.411] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.432] KEY PRESS: RIGHT
[2026-04-26 12:26:56.432] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.453] PUBLISH -> linear.x=0.20, angular.z=-0.50
[2026-04-26 12:26:56.473] KEY PRESS: RIGHT
[2026-04-26 12:26:56.474] PUBLISH -> linear.x=0.20, angular.z=-0.50
