[2026-04-24 11:15:00.535] ===== PROGRAM STARTED =====
[2026-04-24 11:15:00.536] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.557] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.577] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.598] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.619] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.640] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.661] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.681] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.702] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.723] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.743] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.764] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.785] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.805] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.826] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.847] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.868] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.889] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.909] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.930] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.952] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.973] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:00.994] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.015] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.036] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.057] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.077] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.098] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.119] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.140] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.161] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.182] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.202] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.223] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.244] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.265] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.286] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.307] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.328] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.349] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.370] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.390] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.411] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.432] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.453] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.474] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.495] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.516] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.537] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.558] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.579] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.600] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.621] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.642] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.662] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.683] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.704] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.725] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.746] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.770] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.792] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.812] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.833] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.854] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.875] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.896] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.917] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.938] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.959] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:01.979] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:02.000] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:02.021] PUBLISH -> linear.x=-0.08, angular.z=0.00
[2026-04-24 11:15:02.042] PUBLISH -> linear.x=-0.16, angular.z=0.00
[2026-04-24 11:15:02.063] PUBLISH -> linear.x=-0.24, angular.z=0.00
[2026-04-24 11:15:02.084] PUBLISH -> linear.x=-0.32, angular.z=0.00
[2026-04-24 11:15:02.105] PUBLISH -> linear.x=-0.40, angular.z=0.00
[2026-04-24 11:15:02.125] PUBLISH -> linear.x=-0.48, angular.z=0.00
[2026-04-24 11:15:02.146] PUBLISH -> linear.x=-0.43, angular.z=0.00
[2026-04-24 11:15:02.167] PUBLISH -> linear.x=-0.38, angular.z=0.00
[2026-04-24 11:15:02.188] PUBLISH -> linear.x=-0.33, angular.z=0.00
[2026-04-24 11:15:02.209] PUBLISH -> linear.x=-0.28, angular.z=0.00
[2026-04-24 11:15:02.230] PUBLISH -> linear.x=-0.23, angular.z=0.00
[2026-04-24 11:15:02.251] PUBLISH -> linear.x=-0.18, angular.z=0.00
[2026-04-24 11:15:02.272] PUBLISH -> linear.x=-0.13, angular.z=0.00
[2026-04-24 11:15:02.293] PUBLISH -> linear.x=-0.08, angular.z=0.00
[2026-04-24 11:15:02.313] PUBLISH -> linear.x=-0.03, angular.z=0.00
[2026-04-24 11:15:02.334] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:02.355] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:02.376] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:02.397] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:02.418] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:02.439] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:02.459] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:02.480] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:15:02.501] PUBLISH -> linear.x=0.00, angular.z=0.00
