[2026-04-26 13:41:07.851] ===== PROGRAM STARTED =====
[2026-04-26 13:41:07.853] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:07.874] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:07.896] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:07.917] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:07.938] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:07.960] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:07.981] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.004] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.025] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.047] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.068] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.089] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.111] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.132] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.154] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.175] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.196] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.217] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.238] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.260] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.281] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.302] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.324] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.346] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.367] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.388] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.410] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.432] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.453] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.474] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.495] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-26 13:41:08.517] PUBLISH -> linear.x=0.00, angular.z=-0.00
