[2026-04-24 14:58:08.986] ===== PROGRAM STARTED =====
[2026-04-24 14:58:08.987] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.008] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.029] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.050] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.071] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.092] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.113] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.134] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.155] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.176] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.197] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.217] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.238] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.260] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.281] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.302] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.324] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.344] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.365] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.386] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.408] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.429] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.449] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.470] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.491] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.512] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.533] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.554] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.575] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.596] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.617] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.638] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.659] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.680] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.701] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.722] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.743] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.765] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.786] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.808] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.829] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.849] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.871] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.892] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.913] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.933] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.954] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.975] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:09.996] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.017] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.038] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.059] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.080] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.101] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.122] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.143] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.164] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.185] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.206] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.227] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.248] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.269] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.290] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.311] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.332] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.353] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.374] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.395] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.416] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.436] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.457] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.480] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.501] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.522] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.543] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.564] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.585] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.606] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.626] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.647] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.668] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.689] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.710] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.731] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.752] PUBLISH -> linear.x=0.00, angular.z=-0.00
[2026-04-24 14:58:10.773] PUBLISH -> linear.x=0.00, angular.z=-0.00
